time,altitude,vertical velocity,vertical acceleration,mass,drag cd
12.94829242,1027.81599342,-8.87117942,-9.58064035,513.26497918,0.60348298
12.98814508,1027.45485518,-9.25222722,-9.54090308,513.26497918,0.59963911
13.02616972,1027.09615557,-9.6141752,-9.49524474,513.26497918,0.59617734
13.036,1027.00118697,-9.70745178,-9.48204256,513.26497918,0.5953131
13.0385,1026.97688871,-9.73115257,-9.47858311,513.26497918,0.59509524
13.0395,1026.9671607,-9.72487345,6.27912315,513.26497918,NaN
13.08775274,1026.50519475,-9.42288826,6.25840533,513.26497918,NaN
13.136943,1026.04806567,-9.1632737,5.27776339,513.26497918,NaN
13.19703683,1025.50546161,-8.89528711,4.45946921,513.26497918,NaN
13.2702373,1024.8640713,-8.62892517,3.63880081,513.26497918,NaN
13.36268672,1024.07849996,-8.36569342,2.84730558,513.26497918,NaN
13.48452775,1023.07472002,-8.11118545,2.08885276,513.26497918,NaN
13.65585661,1021.70526538,-7.87508442,1.37805758,513.26497918,NaN
13.92362583,1019.62304098,-7.67729564,0.73865388,513.26497918,NaN
14.42362583,1015.81168565,-7.56812568,0.21833993,513.26497918,NaN
14.92362583,1012.02002397,-7.59852104,-0.06079072,513.26497918,NaN
15.42362583,1008.22339311,-7.58800242,0.02103724,513.26497918,NaN
15.92362583,1004.42907033,-7.58928869,-0.00257254,513.26497918,NaN
16.42362583,1000.63496058,-7.58715031,0.00427677,513.26497918,NaN
16.92362583,996.84167132,-7.58600672,0.00228717,513.26497918,NaN
17.42362583,993.04904871,-7.58448375,0.00304594,513.26497918,NaN
17.92362583,989.2571642,-7.58305426,0.00285898,513.26497918,NaN
18.42362583,985.4660008,-7.58159935,0.00290982,513.26497918,NaN
18.92362583,981.67556256,-7.5801536,0.0028915,513.26497918,NaN
19.42362583,977.88584743,-7.57870694,0.00289332,513.26497918,NaN
19.92362583,974.09685511,-7.57726231,0.00288927,513.26497918,NaN
20.42362583,970.30858483,-7.57581884,0.00288694,513.26497918,NaN
20.92362583,966.52103592,-7.57437678,0.00288412,513.26497918,NaN
21.42362583,962.73420771,-7.57293606,0.00288144,513.26497918,NaN
21.92362583,958.94809953,-7.57149669,0.00287873,513.26497918,NaN
22.42362583,955.16271069,-7.57005867,0.00287603,513.26497918,NaN
22.92362583,951.37804052,-7.568622,0.00287334,513.26497918,NaN
23.42362583,947.59408835,-7.56718668,0.00287065,513.26497918,NaN
23.92362583,943.8108535,-7.5657527,0.00286796,513.26497918,NaN
24.42362583,940.02833532,-7.56432006,0.00286528,513.26497918,NaN
24.92362583,936.24653311,-7.56288875,0.00286261,513.26497918,NaN
25.42362583,932.46544623,-7.56145879,0.00285993,513.26497918,NaN
25.92362583,928.68507399,-7.56003015,0.00285726,513.26497918,NaN
26.42362583,924.90541574,-7.55860286,0.0028546,513.26497918,NaN
26.92362583,921.12647081,-7.55717689,0.00285194,513.26497918,NaN
27.42362583,917.34823852,-7.55575225,0.00284928,513.26497918,NaN
27.92362583,913.57071823,-7.55432893,0.00284663,513.26497918,NaN
28.42362583,909.79390926,-7.55290694,0.00284398,513.26497918,NaN
28.92362583,906.01781096,-7.55148627,0.00284134,513.26497918,NaN
29.42362583,902.24242266,-7.55006692,0.0028387,513.26497918,NaN
29.92362583,898.46774371,-7.54864889,0.00283606,513.26497918,NaN
30.42362583,894.69377345,-7.54723217,0.00283343,513.26497918,NaN
30.92362583,890.92051122,-7.54581677,0.00283081,513.26497918,NaN
31.42362583,887.14795636,-7.54440267,0.00282818,513.26497918,NaN
31.92362583,883.37610821,-7.54298989,0.00282557,513.26497918,NaN
32.42362583,879.60496614,-7.54157841,0.00282295,513.26497918,NaN
32.92362583,875.83452947,-7.54016824,0.00282034,513.26497918,NaN
33.42362583,872.06479757,-7.53875938,0.00281773,513.26497918,NaN
33.92362583,868.29576977,-7.53735181,0.00281513,513.26497918,NaN
34.42362583,864.52744543,-7.53594554,0.00281253,513.26497918,NaN
34.92362583,860.7598239,-7.53454057,0.00280994,513.26497918,NaN
35.42362583,856.99290454,-7.5331369,0.00280735,513.26497918,NaN
35.92362583,853.22668668,-7.53173452,0.00280476,513.26497918,NaN
36.42362583,849.4611697,-7.53033342,0.00280218,513.26497918,NaN
36.92362583,845.69635294,-7.52893362,0.00279961,513.26497918,NaN
37.42362583,841.93223576,-7.5275351,0.00279703,513.26497918,NaN
37.92362583,838.16881751,-7.52613787,0.00279446,513.26497918,NaN
38.42362583,834.40609756,-7.52474193,0.0027919,513.26497918,NaN
38.92362583,830.64407527,-7.52334726,0.00278933,513.26497918,NaN
39.42362583,826.88274998,-7.52195387,0.00278678,513.26497918,NaN
39.92362583,823.12212108,-7.52056176,0.00278422,513.26497918,NaN
40.42362583,819.36218791,-7.51917092,0.00278167,513.26497918,NaN
40.92362583,815.60294984,-7.51778136,0.00277913,513.26497918,NaN
41.42362583,811.84440623,-7.51639306,0.00277659,513.26497918,NaN
41.92362583,808.08655646,-7.51500604,0.00277405,513.26497918,NaN
42.42362583,804.32939988,-7.51362028,0.00277151,513.26497918,NaN
42.92362583,800.57293586,-7.51223579,0.00276898,513.26497918,NaN
43.42362583,796.81716377,-7.51085256,0.00276646,513.26497918,NaN
43.92362583,793.06208298,-7.50947059,0.00276394,513.26497918,NaN
44.42362583,789.30769286,-7.50808988,0.00276142,513.26497918,NaN
44.92362583,785.55399278,-7.50671043,0.0027589,513.26497918,NaN
45.42362583,781.80098212,-7.50533223,0.00275639,513.26497918,NaN
45.92362583,778.04866023,-7.50395529,0.00275389,513.26497918,NaN
46.42362583,774.29702651,-7.5025796,0.00275138,513.26497918,NaN
46.92362583,770.54608032,-7.50120516,0.00274889,513.26497918,NaN
47.42362583,766.79582104,-7.49983196,0.00274639,513.26497918,NaN
47.92362583,763.04624805,-7.49846001,0.0027439,513.26497918,NaN
48.42362583,759.29736072,-7.4970893,0.00274141,513.26497918,NaN
48.92362583,755.54915844,-7.49571984,0.00273893,513.26497918,NaN
49.42362583,751.80164057,-7.49435162,0.00273645,513.26497918,NaN
49.92362583,748.05480651,-7.49298463,0.00273397,513.26497918,NaN
50.42362583,744.30865563,-7.49161888,0.0027315,513.26497918,NaN
50.92362583,740.56318732,-7.49025436,0.00272903,513.26497918,NaN
51.42362583,736.81840097,-7.48889108,0.00272657,513.26497918,NaN
51.92362583,733.07429594,-7.48752902,0.00272411,513.26497918,NaN
52.42362583,729.33087164,-7.4861682,0.00272165,513.26497918,NaN
52.92362583,725.58812744,-7.4848086,0.0027192,513.26497918,NaN
53.42362583,721.84606273,-7.48345022,0.00271675,513.26497918,NaN
53.92362583,718.10467691,-7.48209307,0.0027143,513.26497918,NaN
54.42362583,714.36396936,-7.48073714,0.00271186,513.26497918,NaN
54.92362583,710.62393947,-7.47938243,0.00270942,513.26497918,NaN
